SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
20MICRONS,EQ,74.9,25-May-21,25.35,22-Sep-20
21STCENMGM,EQ,25.8,09-Jul-21,9.45,19-Oct-20
3IINFOTECH,BE,11.55,22-Jun-21,2.2,07-Aug-20
3MINDIA,EQ,31000,01-Apr-21,18024.25,23-Sep-20
3PLAND,BE,18.8,13-Jul-21,5.8,12-Oct-20
5PAISA,EQ,580,15-Jul-21,235.65,31-Mar-21
63MOONS,EQ,114.8,23-Jul-21,65,28-Sep-20
A2ZINFRA,EQ,6.55,07-Jul-21,3.45,20-Oct-20
AAKASH,EQ,282,28-Jul-21,48.35,30-Sep-20
AAREYDRUGS,EQ,-,-,-,-
AARON,EQ,136,29-Jul-21,28,12-Nov-20
AARTIDRUGS,EQ,1026.95,08-Oct-20,435,05-Aug-20
AARTIIND,EQ,987,03-Aug-21,483.23,16-Oct-20
AARTISURF,EQ,1799.8,05-Aug-21,257.65,05-Aug-20
AARVEEDEN,EQ,29.95,03-Aug-21,9.3,05-Nov-20
AARVI,EQ,78.4,14-Jul-21,27,10-Aug-20
AAVAS,EQ,3074.35,06-Jul-21,1283.05,09-Sep-20
ABAN,EQ,52.5,09-Jun-21,21.1,28-Oct-20
ABB,EQ,1857,30-Jun-21,846.6,25-Sep-20
ABBOTINDIA,EQ,19994.7,02-Aug-21,13959.8,02-Feb-21
ABCAPITAL,EQ,139.7,09-Mar-21,56.8,06-Aug-20
ABFRL,EQ,234.5,30-Jul-21,117,12-Aug-20
ABSLBANETF,EQ,420,24-Feb-21,193.9,28-Oct-20
ABSLNN50ET,EQ,459.4,06-Jul-21,265.7,04-Nov-20
ACC,EQ,2454.95,04-Aug-21,1289,07-Sep-20
ACCELYA,EQ,1539.4,14-Jul-21,800,05-Nov-20
ACCURACY,EQ,105.2,05-Aug-21,31.25,11-Dec-20
ACE,EQ,271.9,27-Jul-21,56,10-Aug-20
ACRYSIL,EQ,700,03-Aug-21,181.25,25-Jan-21
ADANIENT,EQ,1717.2,07-Jun-21,177.5,06-Aug-20
ADANIGREEN,BE,1390,25-May-21,340.1,06-Aug-20
ADANIPORTS,EQ,901,09-Jun-21,312.1,24-Sep-20
ADANIPOWER,BE,166.9,09-Jun-21,34.5,22-Oct-20
ADANITRANS,BE,1644.95,07-Jun-21,230,06-Aug-20
ADFFOODS,EQ,1094.7,19-May-21,334.2,01-Sep-20
ADL,BE,45.3,28-Jun-21,16.1,17-Nov-20
ADORWELD,EQ,880.2,16-Jul-21,231.95,06-Aug-20
ADROITINFO,BE,14.75,06-Jul-21,4.6,23-Sep-20
ADSL,EQ,74.95,27-May-21,17.75,06-Aug-20
ADVANIHOTR,EQ,84,05-Aug-21,37.95,19-Oct-20
ADVENZYMES,EQ,503.7,19-May-21,196,31-Aug-20
AEGISCHEM,EQ,387.9,11-Jun-21,183.85,17-Aug-20
AFFLE,BE,6285.65,05-Mar-21,1783.9,05-Aug-20
AGARIND,EQ,385.15,04-Aug-21,74.1,06-Nov-20
AGCNET,BE,1750,27-Apr-21,297.35,11-Aug-20
AGRITECH,EQ,54.75,04-Aug-21,25.35,12-Oct-20
AGROPHOS,EQ,21,17-Dec-20,7.45,06-Nov-20
AHLADA,EQ,248,04-Aug-21,61.15,10-Feb-21
AHLEAST,EQ,223,26-Jul-21,127.05,12-Nov-20
AHLUCONT,EQ,430,19-Jul-21,203.55,02-Nov-20
AHLWEST,EQ,339.4,08-Dec-20,191,19-Apr-21
AIAENG,EQ,2234,21-Jan-21,1584,11-Aug-20
AIRAN,BE,35.95,24-Jun-21,10.5,03-Nov-20
AJANTPHARM,EQ,2435,29-Jul-21,1424.5,01-Sep-20
AJMERA,BE,349,04-Aug-21,76.3,05-Aug-20
AJOONI,EQ,75.7,31-May-21,41.9,07-May-21
AKASH,EQ,281,10-Nov-20,157.9,23-Apr-21
AKG,EQ,112.7,16-Mar-21,24.15,04-Aug-21
AKSHARCHEM,EQ,497.7,13-Jul-21,197.15,13-Nov-20
AKSHOPTFBR,BE,13.85,15-Jul-21,4.7,10-Aug-20
AKZOINDIA,EQ,2530,22-Jan-21,1856,10-Aug-20
ALANKIT,EQ,27.2,30-Jun-21,12.65,19-Apr-21
ALBERTDAVD,EQ,622.9,20-Jul-21,374,25-Mar-21
ALEMBICLTD,EQ,143.3,04-May-21,81.3,25-Aug-20
ALICON,EQ,854.7,20-Jul-21,271.95,05-Aug-20
ALKALI,EQ,96.7,16-Jul-21,41.1,09-Sep-20
ALKEM,EQ,3558.9,16-Jul-21,2540.05,24-Mar-21
ALKYLAMINE,EQ,4749,27-Jul-21,954,07-Aug-20
ALLCARGO,EQ,217.7,03-Aug-21,95.05,07-Aug-20
ALLSEC,EQ,558.4,12-Jul-21,190.25,05-Aug-20
ALMONDZ,EQ,72.75,15-Jul-21,8.9,17-Aug-20
ALOKINDS,EQ,44.3,07-Aug-20,18.65,01-Oct-20
ALPA,EQ,73.4,23-Apr-21,24.65,18-Aug-20
ALPHAGEO,EQ,366,03-Aug-21,142.85,02-Nov-20
ALPSINDUS,BE,3.8,24-Jun-21,0.9,07-Dec-20
AMARAJABAT,EQ,1025.55,15-Jan-21,693.15,29-Jul-21
AMBER,EQ,3662,05-Mar-21,1642.2,12-Aug-20
AMBICAAGAR,EQ,39,14-May-21,11.95,22-Apr-21
AMBIKCO,EQ,1732.5,03-Aug-21,606.1,24-Sep-20
AMBUJACEM,EQ,427.4,04-Aug-21,197.45,24-Sep-20
AMDIND,EQ,33.65,07-Jul-21,13.65,05-Aug-20
AMJLAND,EQ,40.4,03-Aug-21,16.7,31-Aug-20
AMRUTANJAN,EQ,804.9,27-May-21,400.25,16-Oct-20
ANANTRAJ,BE,73.95,15-Jul-21,16.75,09-Nov-20
ANDHRACEMT,BE,37.2,04-Aug-21,4.2,19-Oct-20
ANDHRAPAP,EQ,283.7,06-Jul-21,177.55,25-Sep-20
ANDHRSUGAR,EQ,638,30-Jun-21,271,04-Nov-20
ANDREWYU,EQ,29.7,05-Aug-21,28,05-Aug-21
ANGELBRKG,EQ,1475,19-Jul-21,222.2,21-Oct-20
ANIKINDS,EQ,27.1,08-Jul-21,10.6,06-May-21
ANKITMETAL,BE,2.3,02-Aug-21,0.65,19-Aug-20
ANMOL,EQ,197,07-Jun-21,136,28-Jun-21
ANSALAPI,EQ,13.55,06-Jan-21,3.6,25-Sep-20
ANSALHSG,EQ,11.55,15-Jul-21,3.65,09-Nov-20
ANUP,EQ,1076,30-Jul-21,478.2,05-Aug-20
ANURAS,EQ,848.05,12-Jul-21,474,31-Mar-21
APARINDS,EQ,723,28-Jul-21,280.6,19-Oct-20
APCL,EQ,531.95,20-Jul-21,136.6,31-Aug-20
APCOTEXIND,EQ,385,20-May-21,111,06-Aug-20
APEX,EQ,434.85,06-Jul-21,199.95,30-Mar-21
APLAPOLLO,EQ,1849.85,28-Jul-21,399.07,05-Aug-20
APLLTD,EQ,1145,17-Dec-20,773.8,30-Jul-21
APOLLO,EQ,155.9,11-Jan-21,86.5,12-Apr-21
APOLLOHOSP,EQ,4225,03-Aug-21,1585.05,10-Sep-20
APOLLOPIPE,EQ,1410,02-Aug-21,324.5,05-Aug-20
APOLLOTYRE,EQ,261.25,04-Mar-21,109.55,09-Sep-20
APOLSINHOT,EQ,990,25-May-21,460,24-Sep-20
APTECHT,EQ,296.9,02-Aug-21,108,06-Aug-20
ARCHIDPLY,BE,46.4,04-Jan-21,22.65,30-Oct-20
ARCHIES,BE,29.25,20-Jul-21,9.35,23-Apr-21
ARENTERP,EQ,19.5,28-Jul-21,9.3,29-Oct-20
ARIES,EQ,193.9,15-Jul-21,58.2,05-Aug-20
ARIHANT,EQ,31.35,14-Jun-21,14.2,07-Aug-20
ARIHANTCAP,EQ,189.25,16-Jul-21,111.25,18-Jun-21
ARIHANTSUP,EQ,117.45,05-Aug-21,17.7,16-Oct-20
