R1C1,R1C2,R1C3,R1C4,R1C5,,,,,,,,,,R1C1,R1C2,R1C3,R1C4,R1C5,
R2C1,R2C2,R2C3,R2C4,R2C5,,,,6 1/9,,,,,,R2C1,R2C2,R2C3,R2C4,R2C5,
R3C1,R3C2,R3C3,R3C4,R3C5,,,,,,,,,,R3C1,R3C2,R3C3,R3C4,R3C5,
R4C1,R4C2,R4C3,R4C4,R4C5,,,,,,,,,,R4C1,R4C2,R4C3,R4C4,R4C5,
R5C1,R5C2,R5C3,R5C4,R5C5,,666 7/8,,,,,,,,R5C1,R5C2,R5C3,R5C4,R5C5,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,14 1/7,,,,,,,,,,,
opt,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,,,,,Iris-setosa,,,,,,,,,
1,5.1,3.5,1.4,0.2,Iris-setosa,,999,f,,,,,,,,,,,
2,4.9,3,1.4,0.2,Iris-setosa,,,,,,,,,,,,,,
3,4.7,3.2,1.3,0.2,Iris-setosa,,,,Iris-setosa,,,,,,,,,,
4,4.6,3.1,1.5,0.2,Iris-setosa,,,,,,,,,,,,,,
5,5,3.6,1.4,0.2,Iris-setosa,,,,,,,,,,,,,,
6,5.4,3.9,1.7,0.4,Iris-setosa,,,,,,,,,,,,,,
7,4.6,3.4,1.4,0.3,Iris-setosa,,,,,,,,,,,,,,
2,4.9,3,1.4,0.2,Iris-setosa,,,,,Id,SepalLengthCm,SepalWidthCm,,PetalLengthCm,PetalWidthCm,Species,,,
9,4.4,2.9,1.4,0.2,Iris-setosa,,,,,Id,SepalLengthCm,SepalWidthCm,,PetalLengthCm,PetalWidthCm,Species,,,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa,,,,,,,,,,,,,,
11,5.4,3.7,1.5,0.2,Iris-setosa,,,,,,,,,,,,,,
12,4.8,3.4,1.6,0.2,Iris-setosa,1802,,,,,,,,,,,,,
13,4.8,3,1.4,0.1,Iris-setosa,,,,Iris-setosa,,,,,,,,,,
14,4.3,3,1.1,0.1,Iris-setosa,,,,,,,,,,,,,,
15,5.8,4,1.2,0.2,Iris-setosa,,,,,,,,,,,,,,
16,5.7,4.4,1.5,0.4,Iris-setosa,,,22,,1,x,1,,,1,,,,
17,5.4,3.9,1.3,0.4,Iris-setosa,,,222,,2,x,2,,,4,,,,
18,5.1,3.5,1.4,0.3,Iris-setosa,,,333,,3,x,3,,,9,Iris-setosa,,,
19,5.7,3.8,1.7,0.3,Iris-setosa,,,444,,4,x,4,,,16,,,,
20,5.1,3.8,1.5,0.3,Iris-setosa,,,555,,5,x,5,,,25,,,,
21,5.4,3.4,1.7,0.2,Iris-setosa,,,6,,6,x,6,,,36,,,,
22,5.1,3.7,1.5,0.4,Iris-setosa,,,6,,7,x,7,,,49,,,,
23,4.6,3.6,1,0.2,Iris-setosa,,,66,,8,x,8,,,64,,,,
24,5.1,3.3,1.7,0.5,Iris-setosa,0,,6,,9,x,9,,,81,,,,
25,4.8,3.4,1.9,0.2,Iris-setosa,,,6,,10,x,10,,,100,,,,
26,5,3,1.6,0.2,Iris-setosa,,,66,,,,,,,,,,,
27,5,3.4,1.6,0.4,Iris-setosa,,,43,,,,,,,,,,,
28,5.2,3.5,1.5,0.2,Iris-setosa,,,23,,,,,,,,,,,
29,5.2,3.4,1.4,0.2,Iris-setosa,,,4,,,,,,,,,,,
30,4.7,3.2,1.6,0.2,Iris-setosa,,,,,,,,,,,,,,
31,4.8,3.1,1.6,0.2,Iris-setosa,,total=, ,,,,,,,,,,,
32,5.4,3.4,1.5,0.4,Iris-setosa,,,,,,,,,,,,,,
33,5.2,4.1,1.5,0.1,Iris-setosa,,,,,,,,,,,,,,
34,5.5,4.2,1.4,0.2,Iris-setosa,,,,,,,,,,,,,,
35,4.9,3.1,1.5,0.1,Iris-setosa,,,,,,,,,,,,,,
36,5,3.2,1.2,0.2,Iris-setosa,,,,,,,,,,,,,,
37,5.5,3.5,1.3,0.2,Iris-setosa,,,,,,,,,,,,,,
38,4.9,3.1,1.5,0.1,Iris-setosa,,,,,,,,,,,,,,
39,4.4,3,1.3,0.2,Iris-setosa,,,,,,,,,,,,,,
40,5.1,3.4,1.5,0.2,Iris-setosa,,,,,,,,,,,,,,
41,5,3.5,1.3,0.3,Iris-setosa,,,,,,,,,,,,,,
42,4.5,2.3,1.3,0.3,Iris-setosa,,,,,,,,,,,,,,
43,4.4,3.2,1.3,0.2,Iris-setosa,,,,,,,,,,,,,,
44,5,3.5,1.6,0.6,Iris-setosa,,,,,,,,,,,,,,
45,5.1,3.8,1.9,0.4,Iris-setosa,,,,,,,,,,,,,,
46,4.8,3,1.4,0.3,Iris-setosa,,,,,,,,,,,,,,
47,5.1,3.8,1.6,0.2,Iris-setosa,,,,,,,,,,,,,,
48,4.6,3.2,1.4,0.2,Iris-setosa,,,,,,,,,,,,,,
49,5.3,3.7,1.5,0.2,Iris-setosa,,,,,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,,,,,,,,,
50,5,3.3,1.4,0.2,Iris-setosa,,,,,,,,,,,,,,
51,7,3.2,4.7,1.4,Iris-versicolor,,,,,,,,,,,,,,
52,6.4,3.2,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,
53,6.9,3.1,4.9,1.5,Iris-versicolor,,,,,,,,,,,,,,
54,5.5,2.3,4,1.3,Iris-versicolor,,cell referencing,,,,,,,,2,,,,
55,6.5,2.8,4.6,1.5,Iris-versicolor,,,,,,,,,,4,,,,
56,5.7,2.8,4.5,1.3,Iris-versicolor,,realtive,,absolute,,mixed,,,,,,,,
57,6.3,3.3,4.7,1.6,Iris-versicolor,,,,,,,,,,,,,,
58,4.9,2.4,3.3,1,Iris-versicolor,,5.7,,0.225296443,,,,,,,,,,
59,6.6,Column1,Column2,Column3,Iris-versicolor,,7.5,,0.296442688,,,,,,,,,,
60,5.2,2.9,4.6,1.3,Iris-versicolor,,6.6,,0.260869565,,,,,,,,,,
61,5,2.7,3.9,1.4,Iris-versicolor,,5.5,,0.217391304,,,,,,,,,,
62,5.9,2,3.5,1,Iris-versicolor,,25.3,,,,,,,,,,,,
63,6,3,4.2,1.5,Iris-versicolor,,,,,,,,,,,,,,
64,6.1,2.2,4,1,Iris-versicolor,,changing posit,,constan post,,,,,,,,,,
65,5.6,2.9,4.7,1.4,Iris-versicolor,,,,,,,,,,,,,,
66,6.7,2.9,3.6,1.3,Iris-versicolor,,,,,,,,,,,,,,
67,5.6,3.1,4.4,1.4,Iris-versicolor,,,,,,,,,,,,,,
68,5.8,3,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,
69,6.2,2.7,4.1,1,Iris-versicolor,,,,,,,,,,,,,,
70,5.6,2.2,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,
71,5.9,2.5,3.9,1.1,Iris-versicolor,,,,,,,,,,,,,,
72,6.1,3.2,4.8,1.8,Iris-versicolor,,,,,,,,,,,,,,
73,6.3,2.8,4,1.3,Iris-versicolor,,,,,,,,,,,,,,
74,6.1,2.5,4.9,1.5,Iris-versicolor,,,,,,,,,,,,,,
75,6.4,2.8,4.7,1.2,Iris-versicolor,,,,,,,,,,,,,,
76,6.6,2.9,4.3,1.3,Iris-versicolor fffffdddddddddddddddddddddd,,,,,,,,,,,,,,
77,6.8,3,4.4,1.4,Iris-versicolor fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,,,,,,,,,,,,,
78,6.7,2.8,4.8,1.4,Iris-versicolor,,,,,,,,,,,,,,
79,6,3,5,1.7,Iris-versicolor,,,,,,,,,,,,,,
80,5.7,2.9,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,
81,5.5,2.6,3.5,1,Iris-versicolor,,,,,,,,,,,,,,
82,5.5,2.4,3.8,1.1,Iris-versicolor,,,,,,,,,,,,,,
83,5.8,2.4,3.7,1,Iris-versicolor,,,,,,,,,,,,,,
84,6,2.7,3.9,1.2,Iris-versicolor,,,,,,,,,,,,,,
85,5.4,2.7,5.1,1.6,Iris-versicolor,,,,,,,,,,,,,,
86,6,3,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,
87,6.7,3.4,4.5,1.6,Iris-versicolor,,,,,,,,,,,,,,
88,6.3,3.1,4.7,1.5,Iris-versicolor,,,,,,,,,,,,,,
89,5.6,2.3,4.4,1.3,Iris-versicolor,,,,,,,,,,,,,,
90,5.5,3,4.1,1.3,Iris-versicolor,,,,,,,,,,,,,,
91,5.5,2.5,4,1.3,Iris-versicolor,,,,,,,,,,,,,,
92,6.1,2.6,4.4,1.2,Iris-versicolor,,,,,,,,,,,,,,
93,5.8,3,4.6,1.4,Iris-versicolor,,,,,,,,,,,,,,
94,5,2.6,4,1.2,Iris-versicolor,,,,,,,,,,,,,,
95,5.6,2.3,3.3,1,Iris-versicolor,,,,,,,,,,,,,,
96,5.7,2.7,4.2,1.3,Iris-versicolor,,,,,,,,,,,,,,
97,5.7,3,4.2,1.2,Iris-versicolor,,,,,,,,,,,,,,
98,6.2,2.9,4.2,1.3,Iris-versicolor,,,,,,,,,,,,,,
99,5.1,2.9,4.3,1.3,Iris-versicolor,,,,,,,,,,,,,,
100,5.7,2.5,3,1.1,Iris-versicolor,,,,,,,,,,,,,,
101,6.3,2.8,4.1,1.3,Iris-virginica,,,,,,,,,,,,,,
102,5.8,3.3,6,2.5,Iris-virginica,,,,,,,,,,,,,,
103,7.1,2.7,5.1,1.9,Iris-virginica,,,,,,,,,,,,,,
104,6.3,3,5.9,2.1,Iris-virginica,,,,,,,,,,,,,,
105,6.5,2.9,5.6,1.8,Iris-virginica,,,,,,,,,,,,,,
106,7.6,3,5.8,2.2,Iris-virginica,,,,,,,,,,,,,,
107,4.9,3,6.6,2.1,Iris-virginica,,,,,,,,,,,,,,
108,7.3,2.5,4.5,1.7,Iris-virginica,,,,,,,,,,,,,,
109,6.7,2.9,6.3,1.8,Iris-virginica,,,,,,,,,,,,,,
110,7.2,2.5,5.8,1.8,Iris-virginica,,,,7,,,,,,,,,,
111,6.5,3.6,6.1,2.5,Iris-virginica,,,,,,,,,,,,,,
112,6.4,3.2,5.1,2,Iris-virginica,,,,,,,,,,,,,,
113,6.8,2.7,5.3,1.9,Iris-virginica,,,,,16-10-3454,,,,,,,,,
114,5.7,3,5.5,2.1,Iris-virginica,,,,,1000?,,,,,,,,,
115,5.8,2.5,5,2,Iris-virginica,,,,,,,,,,,,,,
116,6.4,2.8,5.1,2.4,Iris-virginica,,,,5587.00%,,,1,,,,,,,
117,6.5,3.2,5.3,2.3,Iris-virginica,,,,,,,2,,,,,,,
118,7.7,3.07,5.5,1.8,Iris-virginica,,,,TRUE,,,3,,,,,,,
119,7.7,3.8,6.7,2.2,Iris-virginica,,,,,,,4,,,,,,,
120,6,2.6,6.9,2.3,Iris-virginica,,,,,,,5,,,,,,,
121,6.9,2.2,5,1.5,Iris-virginica,,,,,0.0?0,0.0_),6.0 0,,,,,,,
122,5.6,3.2,5.7,2.3,Iris-virginica,,,,,,,7,,,,,,,
123,7.7,2.8,4.9,2,Iris-virginica,,,,,,,8,,,,,,,
124,6.3,2.8,6.7,2,Iris-virginica,,,,,,,9,,,,,,,
125,6.7,2.7,4.9,1.8,Iris-virginica,,,,,,,10,,,,,,,
126,7.2,3.3,5.7,2.1,Iris-virginica,,,,,,,11,,,,,,,
127,6.2,3.2,6,1.8,Iris-virginica,,,,,,,12,,,,,,,
128,6.1,2.8,4.8,1.8,Iris-virginica,,,,,,,13,,,,,,,
129,6.4,3,4.9,1.8,Iris-virginica,,,,,,,14,,,,,,,
130,7.2,2.8,5.6,2.1,Iris-virginica,,,,,,,,,,,,,,
131,7.4,3,5.8,1.6,Iris-virginica,,,,,,,,,,,,,,
132,7.9,2.8,6.1,1.9,Iris-virginica,,,,,,,,,,,,,,
